					郑州商品交易所期权每日行情表(2019-10-17)
品种代码   |昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|空盘量    |增减量    |成交额(万元)|DELTA     |隐含波动率|行权量
CF005P15400|2,418.00  |0.00      |0.00      |0.00      |0.00      |2,465.00  |47.00     |47.00     |0         |94        |0         |0.00        |-0.8621   |21.10     |0
CF005P15600|2,601.00  |0.00      |0.00      |0.00      |0.00      |2,651.00  |50.00     |50.00     |0         |90        |0         |0.00        |-0.8772   |21.51     |0
CF005P15800|2,788.00  |0.00      |0.00      |0.00      |0.00      |2,840.00  |52.00     |52.00     |0         |10        |0         |0.00        |-0.8894   |21.94     |0
CF005P16000|2,978.00  |0.00      |0.00      |0.00      |0.00      |3,030.00  |52.00     |52.00     |0         |18        |0         |0.00        |-0.9007   |22.41     |0
CF005P16200|3,168.00  |0.00      |0.00      |0.00      |0.00      |3,221.00  |53.00     |53.00     |0         |80        |0         |0.00        |-0.9112   |22.91     |0
CF005P16400|3,359.00  |0.00      |0.00      |0.00      |0.00      |3,416.00  |57.00     |57.00     |0         |28        |0         |0.00        |-0.9183   |23.45     |0
小计       |          |          |          |          |          |          |          |          |1,030     |11,782    |134       |111.39      |          |          |0
CF007C11400|1,927.00  |0.00      |0.00      |0.00      |0.00      |1,883.00  |-44.00    |-44.00    |0         |0         |0         |0.00        |0.8558    |18.04     |0
CF007C11600|1,767.00  |0.00      |0.00      |0.00      |0.00      |1,725.00  |-42.00    |-42.00    |0         |16        |0         |0.00        |0.8235    |18.10     |0
CF007C11800|1,612.00  |0.00      |0.00      |0.00      |0.00      |1,573.00  |-39.00    |-39.00    |0         |32        |0         |0.00        |0.7901    |18.17     |0
CF007C12000|1,469.00  |0.00      |0.00      |0.00      |0.00      |1,429.00  |-40.00    |-40.00    |0         |20        |0         |0.00        |0.7539    |18.23     |0
CF007C12200|1,331.00  |0.00      |0.00      |0.00      |0.00      |1,295.00  |-36.00    |-36.00    |0         |0         |0         |0.00        |0.7158    |18.30     |0
CF007C12400|1,203.00  |0.00      |0.00      |0.00      |0.00      |1,166.00  |-37.00    |-37.00    |0         |8         |0         |0.00        |0.6769    |18.37     |0
CF007C12600|1,084.00  |0.00      |0.00      |0.00      |0.00      |1,051.00  |-33.00    |-33.00    |0         |8         |0         |0.00        |0.6360    |18.44     |0
CF007C12800|971.00    |0.00      |0.00      |0.00      |0.00      |938.00    |-33.00    |-33.00    |0         |16        |0         |0.00        |0.5954    |18.50     |0
CF007C13000|870.00    |0.00      |0.00      |0.00      |0.00      |841.00    |-29.00    |-29.00    |0         |16        |0         |0.00        |0.5542    |18.57     |0
CF007C13200|773.00    |0.00      |0.00      |0.00      |0.00      |746.00    |-27.00    |-27.00    |0         |8         |0         |0.00        |0.5136    |18.65     |0
CF007C13400|690.00    |0.00      |0.00      |0.00      |0.00      |664.00    |-26.00    |-26.00    |0         |16        |0         |0.00        |0.4739    |18.72     |0
CF007C13600|608.00    |0.00      |0.00      |0.00      |0.00      |585.00    |-23.00    |-23.00    |0         |24        |0         |0.00        |0.4349    |18.79     |0
CF007C13800|540.00    |0.00      |0.00      |0.00      |0.00      |518.00    |-22.00    |-22.00    |0         |16        |0         |0.00        |0.3980    |18.86     |0
CF007C14000|474.00    |0.00      |0.00      |0.00      |0.00      |453.00    |-21.00    |-21.00    |0         |28        |0         |0.00        |0.3618    |18.93     |0
CF007C14200|418.00    |0.00      |0.00      |0.00      |0.00      |400.00    |-18.00    |-18.00    |0         |40        |0         |0.00        |0.3289    |19.01     |0
CF007C14400|366.00    |0.00      |0.00      |0.00      |0.00      |348.00    |-18.00    |-18.00    |0         |40        |0         |0.00        |0.2964    |19.08     |0
CF007C14600|320.00    |286.00    |299.00    |286.00    |299.00    |306.00    |-21.00    |-14.00    |16        |124       |-16       |2.34        |0.2677    |19.16     |0
CF007C14800|280.00    |248.00    |248.00    |248.00    |248.00    |266.00    |-32.00    |-14.00    |16        |48        |0         |2.06        |0.2398    |19.23     |0
小计       |          |          |          |          |          |          |          |          |32        |460       |-16       |4.40        |          |          |0
CF007P11400|134.00    |0.00      |0.00      |0.00      |0.00      |139.00    |5.00      |5.00      |0         |8         |0         |0.00        |-0.1360   |18.04     |0
CF007P11600|173.00    |0.00      |0.00      |0.00      |0.00      |180.00    |7.00      |7.00      |0         |120       |0         |0.00        |-0.1658   |18.10     |0
CF007P11800|216.00    |0.00      |0.00      |0.00      |0.00      |225.00    |9.00      |9.00      |0         |108       |0         |0.00        |-0.1973   |18.17     |0
CF007P12000|270.00    |0.00      |0.00      |0.00      |0.00      |279.00    |9.00      |9.00      |0         |72        |0         |0.00        |-0.2318   |18.23     |0
CF007P12200|329.00    |0.00      |0.00      |0.00      |0.00      |342.00    |13.00     |13.00     |0         |24        |0         |0.00        |-0.2686   |18.30     |0
CF007P12400|397.00    |0.00      |0.00      |0.00      |0.00      |410.00    |13.00     |13.00     |0         |40        |0         |0.00        |-0.3065   |18.37     |0
CF007P12600|475.00    |0.00      |0.00      |0.00      |0.00      |491.00    |16.00     |16.00     |0         |40        |0         |0.00        |-0.3465   |18.44     |0
CF007P12800|558.00    |0.00      |0.00      |0.00      |0.00      |575.00    |17.00     |17.00     |0         |48        |0         |0.00        |-0.3867   |18.50     |0
CF007P13000|654.00    |0.00      |0.00      |0.00      |0.00      |674.00    |20.00     |20.00     |0         |10        |0         |0.00        |-0.4275   |18.57     |0
CF007P13200|753.00    |0.00      |0.00      |0.00      |0.00      |775.00    |22.00     |22.00     |0         |20        |0         |0.00        |-0.4681   |18.65     |0
CF007P13400|866.00    |0.00      |0.00      |0.00      |0.00      |890.00    |24.00     |24.00     |0         |24        |0         |0.00        |-0.5079   |18.72     |0
CF007P13600|981.00    |0.00      |0.00      |0.00      |0.00      |1,007.00  |26.00     |26.00     |0         |4         |0         |0.00        |-0.5472   |18.79     |0
CF007P13800|1,109.00  |0.00      |0.00      |0.00      |0.00      |1,137.00  |28.00     |28.00     |0         |16        |0         |0.00        |-0.5845   |18.86     |0
CF007P14000|1,240.00  |0.00      |0.00      |0.00      |0.00      |1,268.00  |28.00     |28.00     |0         |16        |0         |0.00        |-0.6216   |18.93     |0
CF007P14200|1,381.00  |0.00      |0.00      |0.00      |0.00      |1,412.00  |31.00     |31.00     |0         |16        |0         |0.00        |-0.6553   |19.01     |0
CF007P14400|1,525.00  |0.00      |0.00      |0.00      |0.00      |1,557.00  |32.00     |32.00     |0         |16        |0         |0.00        |-0.6890   |19.08     |0
CF007P14600|1,677.00  |0.00      |0.00      |0.00      |0.00      |1,712.00  |35.00     |35.00     |0         |16        |0         |0.00        |-0.7188   |19.16     |0
CF007P14800|1,834.00  |0.00      |0.00      |0.00      |0.00      |1,869.00  |35.00     |35.00     |0         |20        |0         |0.00        |-0.7481   |19.23     |0
小计       |          |          |          |          |          |          |          |          |0         |618       |0         |0.00        |          |          |0
CF009C11800|1,900.00  |0.00      |0.00      |0.00      |0.00      |1,829.00  |-71.00    |-71.00    |0         |0         |0         |0.00        |0.8042    |17.93     |0
CF009C12000|1,748.00  |0.00      |0.00      |0.00      |0.00      |1,681.00  |-67.00    |-67.00    |0         |0         |0         |0.00        |0.7729    |17.87     |0
CF009C12200|1,602.00  |0.00      |0.00      |0.00      |0.00      |1,536.00  |-66.00    |-66.00    |0         |16        |0         |0.00        |0.7416    |17.83     |0
CF009C12400|1,465.00  |0.00      |0.00      |0.00      |0.00      |1,404.00  |-61.00    |-61.00    |0         |0         |0         |0.00        |0.7069    |17.81     |0
CF009C12600|1,334.00  |0.00      |0.00      |0.00      |0.00      |1,273.00  |-61.00    |-61.00    |0         |0         |0         |0.00        |0.6725    |17.79     |0
CF009C12800|1,212.00  |0.00      |0.00      |0.00      |0.00      |1,157.00  |-55.00    |-55.00    |0         |4         |0         |0.00        |0.6357    |17.79     |0
CF009C13000|1,098.00  |0.00      |0.00      |0.00      |0.00      |1,043.00  |-55.00    |-55.00    |0         |4         |0         |0.00        |0.5993    |17.80     |0
CF009C13200|992.00    |0.00      |0.00      |0.00      |0.00      |943.00    |-49.00    |-49.00    |0         |4         |0         |0.00        |0.5620    |17.82     |0
CF009C13400|895.00    |0.00      |0.00      |0.00      |0.00      |846.00    |-49.00    |-49.00    |0         |0         |0         |0.00        |0.5251    |17.85     |0
CF009C13600|804.00    |0.00      |0.00      |0.00      |0.00      |762.00    |-42.00    |-42.00    |0         |4         |0         |0.00        |0.4889    |17.90     |0
CF009C13800|723.00    |0.00      |0.00      |0.00      |0.00      |681.00    |-42.00    |-42.00    |0         |4         |0         |0.00        |0.4532    |17.95     |0
CF009C14000|645.00    |0.00      |0.00      |0.00      |0.00      |610.00    |-35.00    |-35.00    |0         |0         |0         |0.00        |0.4190    |18.01     |0
CF009C14200|580.00    |0.00      |0.00      |0.00      |0.00      |544.00    |-36.00    |-36.00    |0         |16        |0         |0.00        |0.3860    |18.09     |0
CF009C14400|515.00    |0.00      |0.00      |0.00      |0.00      |484.00    |-31.00    |-31.00    |0         |40        |0         |0.00        |0.3544    |18.17     |0
CF009C14600|463.00    |480.00    |480.00    |480.00    |480.00    |433.00    |17.00     |-30.00    |2         |60        |0         |0.48        |0.3251    |18.26     |0
CF009C14800|412.00    |424.00    |424.00    |421.00    |421.00    |383.00    |9.00      |-29.00    |10        |352       |0         |2.12        |0.2964    |18.35     |0
小计       |          |          |          |          |          |          |          |          |12        |504       |0         |2.60        |          |          |0
CF009P11800|219.00    |0.00      |0.00      |0.00      |0.00      |232.00    |13.00     |13.00     |0         |22        |0         |0.00        |-0.1817   |17.93     |0
CF009P12000|264.00    |0.00      |0.00      |0.00      |0.00      |281.00    |17.00     |17.00     |0         |0         |0         |0.00        |-0.2108   |17.87     |0
CF009P12200|315.00    |0.00      |0.00      |0.00      |0.00      |332.00    |17.00     |17.00     |0         |18        |0         |0.00        |-0.2405   |17.83     |0
CF009P12400|374.00    |0.00      |0.00      |0.00      |0.00      |396.00    |22.00     |22.00     |0         |24        |0         |0.00        |-0.2735   |17.81     |0
CF009P12600|439.00    |431.00    |446.00    |431.00    |446.00    |461.00    |7.00      |22.00     |8         |14        |6         |1.74        |-0.3070   |17.79     |0
CF009P12800|514.00    |0.00      |0.00      |0.00      |0.00      |542.00    |28.00     |28.00     |0         |4         |0         |0.00        |-0.3427   |17.79     |0
CF009P13000|595.00    |0.00      |0.00      |0.00      |0.00      |623.00    |28.00     |28.00     |0         |0         |0         |0.00        |-0.3786   |17.80     |0
CF009P13200|685.00    |0.00      |0.00      |0.00      |0.00      |719.00    |34.00     |34.00     |0         |0         |0         |0.00        |-0.4153   |17.82     |0
CF009P13400|782.00    |0.00      |0.00      |0.00      |0.00      |816.00    |34.00     |34.00     |0         |0         |0         |0.00        |-0.4522   |17.85     |0
CF009P13600|887.00    |0.00      |0.00      |0.00      |0.00      |928.00    |41.00     |41.00     |0         |0         |0         |0.00        |-0.4884   |17.90     |0
CF009P13800|1,001.00  |0.00      |0.00      |0.00      |0.00      |1,042.00  |41.00     |41.00     |0         |0         |0         |0.00        |-0.5244   |17.95     |0
CF009P14000|1,119.00  |0.00      |0.00      |0.00      |0.00      |1,167.00  |48.00     |48.00     |0         |0         |0         |0.00        |-0.5591   |18.01     |0
CF009P14200|1,249.00  |0.00      |0.00      |0.00      |0.00      |1,297.00  |48.00     |48.00     |0         |0         |0         |0.00        |-0.5928   |18.09     |0
CF009P14400|1,381.00  |0.00      |0.00      |0.00      |0.00      |1,433.00  |52.00     |52.00     |0         |0         |0         |0.00        |-0.6254   |18.17     |0
CF009P14600|1,524.00  |0.00      |0.00      |0.00      |0.00      |1,578.00  |54.00     |54.00     |0         |0         |0         |0.00        |-0.6556   |18.26     |0
CF009P14800|1,669.00  |0.00      |0.00      |0.00      |0.00      |1,724.00  |55.00     |55.00     |0         |0         |0         |0.00        |-0.6858   |18.35     |0
小计       |          |          |          |          |          |          |          |          |8         |82        |6         |1.74        |          |          |0
CF合计     |          |          |          |          |          |          |          |          |25,860    |215,514   |3822      |2108.85     |          |          |0
SR001C4300|1,228.00  |0.00      |0.00      |0.00      |0.00      |1,194.00  |-34.00    |-34.00    |0         |194       |0         |0.00        |0.9973    |28.60     |0
SR001C4400|1,128.00  |0.00      |0.00      |0.00      |0.00      |1,094.50  |-33.50    |-33.50    |0         |132       |0         |0.00        |0.9947    |26.78     |0
SR001C4500|1,028.00  |0.00      |0.00      |0.00      |0.00      |994.50    |-33.50    |-33.50    |0         |234       |0         |0.00        |0.9922    |24.91     |0
SR001C4600|928.00    |0.00      |0.00      |0.00      |0.00      |895.00    |-33.00    |-33.00    |0         |420       |0         |0.00        |0.9885    |22.99     |0
SR001C4700|828.00    |0.00      |0.00      |0.00      |0.00      |795.50    |-32.50    |-32.50    |0         |486       |0         |0.00        |0.9845    |21.03     |0
SR001C4800|728.00    |0.00      |0.00      |0.00      |0.00      |696.00    |-32.00    |-32.00    |0         |680       |0         |0.00        |0.9791    |19.06     |0
SR001C4900|628.50    |0.00      |0.00      |0.00      |0.00      |596.50    |-32.00    |-32.00    |0         |1,062     |0         |0.00        |0.9712    |17.16     |0
SR001C5000|530.50    |0.00      |0.00      |0.00      |0.00      |498.00    |-32.50    |-32.50    |0         |1,620     |0         |0.00        |0.9573    |15.44     |0
SR001C5100|434.00    |0.00      |0.00      |0.00      |0.00      |401.50    |-32.50    |-32.50    |0         |1,644     |-2        |0.00        |0.9309    |14.08     |2
SR001C5200|341.00    |317.50    |329.00    |290.50    |329.00    |309.00    |-12.00    |-32.00    |1,368     |2,518     |-594      |416.40      |0.8784    |13.20     |0
SR001C5300|255.00    |224.00    |240.50    |208.00    |240.00    |224.50    |-15.00    |-30.50    |392       |9,828     |0         |88.39       |0.7860    |12.79     |0
SR001C5400|180.00    |157.00    |168.00    |137.50    |165.50    |153.50    |-14.50    |-26.50    |540       |11,226    |48        |82.14       |0.6520    |12.75     |0
SR001C5500|119.50    |103.00    |111.00    |86.00     |106.50    |99.50     |-13.00    |-20.00    |2,902     |15,034    |262       |282.98      |0.4980    |12.95     |0
SR001C5600|75.50     |68.00     |68.00     |53.00     |67.00     |61.50     |-8.50     |-14.00    |3,648     |11,392    |738       |218.61      |0.3526    |13.30     |0
SR001C5700|46.50     |38.00     |41.50     |31.50     |40.00     |37.00     |-6.50     |-9.50     |2,824     |14,318    |72        |101.75      |0.2362    |13.73     |0
SR001C5800|29.00     |23.00     |25.00     |19.00     |23.50     |22.00     |-5.50     |-7.00     |3,496     |9,978     |1,278     |77.26       |0.1513    |14.21     |0
SR001C5900|18.00     |13.50     |16.00     |12.00     |16.00     |12.50     |-2.00     |-5.50     |1,224     |8,426     |22        |16.14       |0.0942    |14.70     |0
SR001C6000|11.50     |9.00      |10.50     |8.00      |10.50     |7.00      |-1.00     |-4.50     |1,782     |17,396    |-28       |16.07       |0.0568    |15.21     |0
SR001C6100|7.50      |6.50      |7.50      |6.00      |7.50      |4.00      |0.00      |-3.50     |3,062     |14,482    |1,308     |21.19       |0.0345    |15.71     |0
小计       |          |          |          |          |          |          |          |          |21,238    |121,070   |3104      |1320.93     |          |          |2
SR001P4300|0.50      |1.00      |1.00      |0.50      |0.50      |1.50      |0.00      |1.00      |12        |11,192    |-8        |0.01        |-0.0076   |28.60     |0
SR001P4400|0.50      |0.00      |0.00      |0.00      |0.00      |2.00      |1.50      |1.50      |0         |1,068     |0         |0.00        |-0.0095   |26.78     |0
SR001P4500|0.50      |0.00      |0.00      |0.00      |0.00      |2.00      |1.50      |1.50      |0         |1,904     |0         |0.00        |-0.0115   |24.91     |0
SR001P4600|0.50      |1.00      |1.00      |1.00      |1.00      |2.50      |0.50      |2.00      |28        |1,782     |-28       |0.03        |-0.0146   |22.99     |0
SR001P4700|0.50      |0.00      |0.00      |0.00      |0.00      |3.00      |2.50      |2.50      |0         |4,742     |0         |0.00        |-0.0181   |21.03     |0
SR001P4800|1.00      |3.50      |3.50      |2.00      |3.00      |3.50      |2.00      |2.50      |494       |21,308    |-172      |1.17        |-0.0229   |19.06     |0
SR001P4900|2.00      |4.00      |4.00      |3.50      |3.50      |4.00      |1.50      |2.00      |560       |9,692     |350       |2.19        |-0.0301   |17.16     |0
SR001P5000|3.50      |5.00      |6.00      |5.00      |5.50      |5.50      |2.00      |2.00      |532       |10,462    |12        |3.00        |-0.0430   |15.44     |0
SR001P5100|7.00      |9.00      |10.50     |7.50      |8.50      |8.50      |1.50      |1.50      |468       |10,612    |-72       |4.22        |-0.0683   |14.08     |0
SR001P5200|14.50     |16.00     |19.00     |14.00     |15.00     |16.00     |0.50      |1.50      |1,694     |11,044    |342       |28.96       |-0.1194   |13.20     |0
SR001P5300|28.00     |33.00     |36.00     |27.00     |28.50     |31.00     |0.50      |3.00      |3,228     |12,514    |440       |104.51      |-0.2107   |12.79     |0
SR001P5400|52.50     |57.50     |66.00     |52.00     |52.00     |60.00     |-0.50     |7.50      |2,688     |4,196     |-74       |164.42      |-0.3440   |12.75     |0
SR001P5500|91.50     |104.00    |113.00    |90.50     |92.50     |105.50    |1.00      |14.00     |2,678     |6,462     |-552      |282.20      |-0.4978   |12.95     |0
SR001P5600|147.50    |160.50    |179.50    |153.00    |155.00    |167.00    |7.50      |19.50     |386       |2,444     |-224      |63.31       |-0.6434   |13.30     |42
SR001P5700|217.50    |230.50    |253.00    |226.50    |227.50    |242.50    |10.00     |25.00     |508       |1,408     |118       |122.56      |-0.7604   |13.73     |0
SR001P5800|300.00    |332.00    |333.00    |310.50    |311.00    |326.50    |11.00     |26.50     |104       |732       |42        |32.71       |-0.8462   |14.21     |0
SR001P5900|388.50    |434.00    |434.00    |400.00    |400.00    |417.50    |11.50     |29.00     |68        |550       |-12       |28.43       |-0.9045   |14.70     |0
SR001P6000|482.00    |0.00      |0.00      |0.00      |0.00      |511.50    |29.50     |29.50     |0         |212       |0         |0.00        |-0.9434   |15.21     |0
SR001P6100|578.00    |0.00      |0.00      |0.00      |0.00      |608.50    |30.50     |30.50     |0         |0         |0         |0.00        |-0.9672   |15.71     |0
小计       |          |          |          |          |          |          |          |          |13,448    |112,324   |162       |837.72      |          |          |42
SR003C4400|1,079.00  |0.00      |0.00      |0.00      |0.00      |1,044.00  |-35.00    |-35.00    |0         |10        |0         |0.00        |1.0000    |15.77     |0
SR003C4500|979.00    |0.00      |0.00      |0.00      |0.00      |944.00    |-35.00    |-35.00    |0         |10        |0         |0.00        |0.9999    |15.43     |0
SR003C4600|879.00    |0.00      |0.00      |0.00      |0.00      |844.50    |-34.50    |-34.50    |0         |0         |0         |0.00        |0.9900    |15.10     |0
SR003C4700|780.50    |0.00      |0.00      |0.00      |0.00      |746.00    |-34.50    |-34.50    |0         |0         |0         |0.00        |0.9735    |14.78     |0
SR003C4800|684.00    |0.00      |0.00      |0.00      |0.00      |650.00    |-34.00    |-34.00    |0         |10        |0         |0.00        |0.9499    |14.47     |0
SR003C4900|590.50    |0.00      |0.00      |0.00      |0.00      |556.50    |-34.00    |-34.00    |0         |0         |0         |0.00        |0.9170    |14.16     |0
SR003C5000|501.00    |0.00      |0.00      |0.00      |0.00      |467.00    |-34.00    |-34.00    |0         |20        |0         |0.00        |0.8723    |13.87     |0
SR003C5100|417.00    |0.00      |0.00      |0.00      |0.00      |382.50    |-34.50    |-34.50    |0         |40        |0         |0.00        |0.8137    |13.61     |0
SR003C5200|339.00    |0.00      |0.00      |0.00      |0.00      |305.00    |-34.00    |-34.00    |0         |60        |0         |0.00        |0.7402    |13.39     |0
SR003C5300|269.00    |234.00    |246.00    |234.00    |246.00    |236.50    |-23.00    |-32.50    |40        |110       |40        |9.60        |0.6518    |13.23     |0
SR003C5400|208.50    |187.50    |188.50    |187.50    |188.50    |178.50    |-20.00    |-30.00    |58        |134       |22        |10.83       |0.5538    |13.17     |0
SR003C5500|158.50    |138.50    |138.50    |138.50    |138.50    |131.50    |-20.00    |-27.00    |20        |130       |0         |2.77        |0.4541    |13.22     |0
SR003C5600|118.50    |93.50     |100.00    |93.00     |100.00    |95.00     |-18.50    |-23.50    |130       |144       |0         |12.53       |0.3603    |13.36     |0
SR003C5700|87.50     |64.00     |71.00     |64.00     |71.00     |68.00     |-16.50    |-19.50    |120       |92        |0         |8.08        |0.2786    |13.59     |0
SR003C5800|63.50     |45.00     |50.50     |45.00     |50.50     |48.50     |-13.00    |-15.00    |220       |184       |-30       |10.39       |0.2115    |13.85     |0
SR003C5900|45.50     |33.50     |35.50     |33.50     |35.50     |34.00     |-10.00    |-11.50    |40        |154       |20        |1.38        |0.1580    |14.14     |0
SR003C6000|32.50     |22.50     |24.00     |22.50     |24.00     |24.00     |-8.50     |-8.50     |110       |150       |6         |2.55        |0.1164    |14.44     |0
SR003C6100|23.00     |17.50     |18.00     |15.00     |16.50     |16.50     |-6.50     |-6.50     |146       |102       |-16       |2.45        |0.0847    |14.73     |0
小计       |          |          |          |          |          |          |          |          |884       |1,350     |42        |60.58       |          |          |0
SR003P4400|0.50      |0.00      |0.00      |0.00      |0.00      |1.00      |0.50      |0.50      |0         |496       |0         |0.00        |-0.0060   |15.77     |0
SR003P4500|1.00      |0.00      |0.00      |0.00      |0.00      |2.00      |1.00      |1.00      |0         |234       |0         |0.00        |-0.0108   |15.43     |0
SR003P4600|2.50      |0.00      |0.00      |0.00      |0.00      |3.00      |0.50      |0.50      |0         |160       |0         |0.00        |-0.0187   |15.10     |0
SR003P4700|5.00      |0.00      |0.00      |0.00      |0.00      |5.50      |0.50      |0.50      |0         |176       |0         |0.00        |-0.0314   |14.78     |0
SR003P4800|9.00      |0.00      |0.00      |0.00      |0.00      |9.50      |0.50      |0.50      |0         |96        |0         |0.00        |-0.0515   |14.47     |0
SR003P4900|15.50     |17.00     |17.50     |15.00     |15.00     |16.50     |-0.50     |1.00      |180       |260       |-60       |2.90        |-0.0814   |14.16     |0
SR003P5000|26.00     |27.00     |27.00     |23.00     |23.00     |26.50     |-3.00     |0.50      |40        |90        |-20       |1.00        |-0.1235   |13.87     |0
SR003P5100|41.00     |45.00     |45.00     |38.50     |38.50     |41.50     |-2.50     |0.50      |104       |52        |-4        |4.30        |-0.1800   |13.61     |0
SR003P5200|62.50     |60.00     |60.00     |60.00     |60.00     |63.00     |-2.50     |0.50      |60        |182       |-20       |3.66        |-0.2520   |13.39     |0
SR003P5300|92.00     |99.50     |100.00    |87.00     |87.00     |94.00     |-5.00     |2.00      |216       |80        |-42       |19.70       |-0.3394   |13.23     |0
SR003P5400|130.00    |123.50    |123.50    |123.50    |123.50    |135.00    |-6.50     |5.00      |40        |150       |40        |4.94        |-0.4368   |13.17     |0
SR003P5500|179.00    |173.50    |173.50    |173.50    |173.50    |187.00    |-5.50     |8.00      |60        |80        |60        |10.41       |-0.5366   |13.22     |0
SR003P5600|238.50    |234.00    |234.00    |234.00    |234.00    |249.50    |-4.50     |11.00     |64        |36        |16        |15.35       |-0.6310   |13.36     |0
SR003P5700|306.50    |326.50    |326.50    |305.00    |305.00    |321.50    |-1.50     |15.00     |100       |40        |-30       |31.98       |-0.7136   |13.59     |0
SR003P5800|382.00    |384.00    |384.00    |383.00    |383.00    |401.50    |1.00      |19.50     |60        |24        |-20       |23.37       |-0.7821   |13.85     |0
SR003P5900|463.00    |0.00      |0.00      |0.00      |0.00      |486.50    |23.50     |23.50     |0         |0         |0         |0.00        |-0.8373   |14.14     |0
SR003P6000|549.50    |0.00      |0.00      |0.00      |0.00      |576.00    |26.50     |26.50     |0         |0         |0         |0.00        |-0.8810   |14.44     |0
SR003P6100|639.50    |0.00      |0.00      |0.00      |0.00      |668.50    |29.00     |29.00     |0         |0         |0         |0.00        |-0.9150   |14.73     |0
小计       |          |          |          |          |          |          |          |          |924       |2,156     |-80       |117.61      |          |          |0
SR005C4200|1,229.00  |0.00      |0.00      |0.00      |0.00      |1,196.00  |-33.00    |-33.00    |0         |92        |0         |0.00        |1.0000    |16.33     |0
SR005C4300|1,129.00  |0.00      |0.00      |0.00      |0.00      |1,096.00  |-33.00    |-33.00    |0         |8         |0         |0.00        |1.0000    |15.81     |0
SR005C4400|1,030.00  |0.00      |0.00      |0.00      |0.00      |996.00    |-34.00    |-34.00    |0         |76        |0         |0.00        |0.9928    |15.32     |0
SR005C4500|932.00    |0.00      |0.00      |0.00      |0.00      |897.50    |-34.50    |-34.50    |0         |94        |0         |0.00        |0.9786    |14.84     |0
SR005C4600|835.50    |0.00      |0.00      |0.00      |0.00      |800.50    |-35.00    |-35.00    |0         |198       |0         |0.00        |0.9600    |14.40     |0
SR005C4700|741.00    |0.00      |0.00      |0.00      |0.00      |705.00    |-36.00    |-36.00    |0         |256       |0         |0.00        |0.9356    |13.99     |0
SR005C4800|649.50    |0.00      |0.00      |0.00      |0.00      |612.50    |-37.00    |-37.00    |0         |256       |0         |0.00        |0.9040    |13.62     |0
SR005C4900|561.50    |0.00      |0.00      |0.00      |0.00      |524.00    |-37.50    |-37.50    |0         |880       |0         |0.00        |0.8628    |13.32     |0
SR005C5000|478.50    |458.50    |458.50    |458.50    |458.50    |440.50    |-20.00    |-38.00    |10        |446       |0         |4.59        |0.8105    |13.08     |0
SR005C5100|402.00    |376.50    |378.00    |376.50    |378.00    |363.50    |-24.00    |-38.50    |60        |376       |40        |22.62       |0.7466    |12.93     |0
SR005C5200|332.50    |303.50    |309.00    |295.50    |309.00    |295.00    |-23.50    |-37.50    |94        |2,316     |-30       |28.62       |0.6721    |12.87     |0
SR005C5300|271.50    |235.00    |241.00    |232.00    |232.00    |235.50    |-39.50    |-36.00    |38        |3,990     |-24       |9.02        |0.5907    |12.92     |0
SR005C5400|219.50    |199.50    |201.00    |179.00    |199.50    |186.00    |-20.00    |-33.50    |186       |4,016     |94        |35.18       |0.5072    |13.06     |0
SR005C5500|176.50    |160.00    |161.00    |142.00    |145.50    |146.00    |-31.00    |-30.50    |754       |1,696     |-6        |111.66      |0.4274    |13.29     |0
SR005C5600|142.00    |125.00    |125.00    |109.00    |122.50    |114.50    |-19.50    |-27.50    |610       |2,754     |-100      |70.38       |0.3552    |13.61     |0
SR005C5700|114.00    |98.50     |98.50     |83.50     |96.00     |91.00     |-18.00    |-23.00    |732       |3,216     |252       |65.98       |0.2934    |13.99     |0
SR005C5800|91.50     |77.00     |79.00     |67.00     |75.50     |72.50     |-16.00    |-19.00    |494       |1,060     |-108      |37.21       |0.2420    |14.42     |0
SR005C5900|74.50     |63.50     |63.50     |52.00     |60.00     |58.50     |-14.50    |-16.00    |772       |1,632     |44        |44.24       |0.1996    |14.89     |0
SR005C6000|61.50     |50.00     |50.50     |43.00     |47.00     |47.00     |-14.50    |-14.50    |506       |1,134     |126       |23.19       |0.1643    |15.38     |0
小计       |          |          |          |          |          |          |          |          |4,256     |24,496    |288       |452.69      |          |          |0
SR005P4200|3.00      |0.00      |0.00      |0.00      |0.00      |2.00      |-1.00     |-1.00     |0         |1,512     |0         |0.00        |-0.0099   |16.33     |0
SR005P4300|4.50      |0.00      |0.00      |0.00      |0.00      |3.00      |-1.50     |-1.50     |0         |658       |0         |0.00        |-0.0147   |15.81     |0
SR005P4400|6.50      |0.00      |0.00      |0.00      |0.00      |4.50      |-2.00     |-2.00     |0         |518       |0         |0.00        |-0.0214   |15.32     |0
SR005P4500|9.00      |0.00      |0.00      |0.00      |0.00      |7.00      |-2.00     |-2.00     |0         |584       |0         |0.00        |-0.0309   |14.84     |0
SR005P4600|13.00     |0.00      |0.00      |0.00      |0.00      |10.50     |-2.50     |-2.50     |0         |1,102     |0         |0.00        |-0.0452   |14.40     |0
SR005P4700|18.50     |15.00     |15.00     |13.50     |15.00     |15.50     |-3.50     |-3.00     |190       |2,692     |-176      |2.76        |-0.0654   |13.99     |0
