					郑州商品交易所期权每日行情表(2019-10-17)
品种代码   |昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|空盘量    |增减量    |成交额(万元)|DELTA     |隐含波动率|行权量
CF001P11200|14.00     |26.00     |26.00     |17.00     |20.00     |15.00     |6.00      |1.00      |80        |9,568     |16        |0.84        |-0.0415   |19.17     |0
CF001P11400|22.00     |39.00     |39.00     |20.00     |24.00     |24.00     |2.00      |2.00      |240       |4,726     |108       |3.72        |-0.0638   |18.58     |0
CF001P11600|36.00     |44.00     |62.00     |28.00     |31.00     |39.00     |-5.00     |3.00      |526       |3,842     |248       |11.97       |-0.0966   |18.04     |0
CF001P11800|57.00     |67.00     |88.00     |43.00     |50.00     |61.00     |-7.00     |4.00      |1,958     |4,002     |842       |62.96       |-0.1430   |17.58     |0
CF001P12000|88.00     |97.00     |132.00    |69.00     |75.00     |94.00     |-13.00    |6.00      |3,372     |10,066    |-148      |161.89      |-0.2063   |17.20     |0
CF001P12200|133.00    |145.00    |194.00    |99.00     |113.00    |145.00    |-20.00    |12.00     |2,308     |10,468    |1,512     |144.01      |-0.2878   |16.94     |0
CF001P12400|199.00    |255.00    |295.00    |171.00    |184.00    |214.00    |-15.00    |15.00     |2,776     |6,210     |-36       |298.73      |-0.3831   |16.81     |0
CF001P12600|285.00    |329.00    |398.00    |253.00    |287.00    |304.00    |2.00      |19.00     |706       |3,562     |6         |107.66      |-0.4858   |16.82     |0
CF001P12800|394.00    |465.00    |518.00    |354.00    |377.00    |420.00    |-17.00    |26.00     |148       |2,168     |0         |32.29       |-0.5867   |16.97     |0
CF001P13000|524.00    |648.00    |666.00    |485.00    |525.00    |557.00    |1.00      |33.00     |228       |1,714     |22        |63.02       |-0.6777   |17.25     |0
CF001P13200|674.00    |780.00    |840.00    |639.00    |691.00    |710.00    |17.00     |36.00     |156       |700       |4         |55.17       |-0.7544   |17.63     |0
CF001P13400|838.00    |0.00      |0.00      |0.00      |0.00      |877.00    |39.00     |39.00     |0         |356       |0         |0.00        |-0.8156   |18.10     |0
CF001P13600|1,012.00  |972.00    |972.00    |972.00    |972.00    |1,053.00  |-40.00    |41.00     |4         |482       |-4        |1.94        |-0.8625   |18.62     |0
CF001P13800|1,193.00  |0.00      |0.00      |0.00      |0.00      |1,237.00  |44.00     |44.00     |0         |400       |0         |0.00        |-0.8978   |19.18     |0
CF001P14000|1,381.00  |0.00      |0.00      |0.00      |0.00      |1,425.00  |44.00     |44.00     |0         |362       |0         |0.00        |-0.9243   |19.76     |0
CF001P14200|1,571.00  |0.00      |0.00      |0.00      |0.00      |1,617.00  |46.00     |46.00     |0         |280       |0         |0.00        |-0.9446   |20.36     |0
CF001P14400|1,764.00  |0.00      |0.00      |0.00      |0.00      |1,811.00  |47.00     |47.00     |0         |658       |0         |0.00        |-0.9590   |20.96     |0
CF001P14600|1,959.00  |0.00      |0.00      |0.00      |0.00      |2,007.00  |48.00     |48.00     |0         |776       |0         |0.00        |-0.9700   |21.56     |0
CF001P14800|2,155.00  |0.00      |0.00      |0.00      |0.00      |2,204.00  |49.00     |49.00     |0         |176       |0         |0.00        |-0.9792   |22.15     |0
CF001P15000|2,352.00  |0.00      |0.00      |0.00      |0.00      |2,403.00  |51.00     |51.00     |0         |222       |0         |0.00        |-0.9853   |22.74     |0
CF001P15200|2,549.00  |0.00      |0.00      |0.00      |0.00      |2,601.00  |52.00     |52.00     |0         |160       |0         |0.00        |-0.9908   |23.31     |0
CF001P15400|2,748.00  |0.00      |0.00      |0.00      |0.00      |2,800.00  |52.00     |52.00     |0         |626       |0         |0.00        |-0.9946   |23.87     |0
CF001P15600|2,947.00  |0.00      |0.00      |0.00      |0.00      |3,000.00  |53.00     |53.00     |0         |204       |0         |0.00        |-0.9983   |24.42     |0
CF001P15800|3,146.00  |0.00      |0.00      |0.00      |0.00      |3,200.00  |54.00     |54.00     |0         |100       |0         |0.00        |-0.9998   |24.95     |0
CF001P16000|3,345.00  |0.00      |0.00      |0.00      |0.00      |3,400.00  |55.00     |55.00     |0         |260       |0         |0.00        |-1.0000   |25.47     |0
CF001P16200|3,545.00  |0.00      |0.00      |0.00      |0.00      |3,600.00  |55.00     |55.00     |0         |176       |0         |0.00        |-1.0000   |25.98     |0
CF001P16400|3,745.00  |0.00      |0.00      |0.00      |0.00      |3,800.00  |55.00     |55.00     |0         |190       |0         |0.00        |-1.0000   |26.48     |0
CF001P16600|3,945.00  |0.00      |0.00      |0.00      |0.00      |4,000.00  |55.00     |55.00     |0         |192       |0         |0.00        |-1.0000   |26.97     |0
CF001P16800|4,145.00  |0.00      |0.00      |0.00      |0.00      |4,200.00  |55.00     |55.00     |0         |184       |0         |0.00        |-1.0000   |27.44     |0
CF001P17000|4,345.00  |0.00      |0.00      |0.00      |0.00      |4,400.00  |55.00     |55.00     |0         |266       |0         |0.00        |-1.0000   |27.90     |0
CF001P17200|4,545.00  |0.00      |0.00      |0.00      |0.00      |4,600.00  |55.00     |55.00     |0         |160       |0         |0.00        |-1.0000   |28.35     |0
CF001P17400|4,745.00  |0.00      |0.00      |0.00      |0.00      |4,800.00  |55.00     |55.00     |0         |118       |0         |0.00        |-1.0000   |28.79     |0
CF001P17600|4,945.00  |0.00      |0.00      |0.00      |0.00      |5,000.00  |55.00     |55.00     |0         |110       |0         |0.00        |-1.0000   |29.23     |0
CF001P17800|5,145.00  |0.00      |0.00      |0.00      |0.00      |5,200.00  |55.00     |55.00     |0         |58        |0         |0.00        |-1.0000   |29.65     |0
小计       |          |          |          |          |          |          |          |          |12,574    |73,712    |2572      |944.55      |          |          |0
CF003C11000|1,828.00  |0.00      |0.00      |0.00      |0.00      |1,818.00  |-10.00    |-10.00    |0         |0         |0         |0.00        |0.9561    |16.94     |0
CF003C11200|1,641.00  |0.00      |0.00      |0.00      |0.00      |1,631.00  |-10.00    |-10.00    |0         |0         |0         |0.00        |0.9326    |16.82     |0
CF003C11400|1,460.00  |0.00      |0.00      |0.00      |0.00      |1,449.00  |-11.00    |-11.00    |0         |12        |0         |0.00        |0.9029    |16.73     |0
CF003C11600|1,288.00  |0.00      |0.00      |0.00      |0.00      |1,276.00  |-12.00    |-12.00    |0         |0         |0         |0.00        |0.8659    |16.67     |0
CF003C11800|1,125.00  |0.00      |0.00      |0.00      |0.00      |1,111.00  |-14.00    |-14.00    |0         |24        |0         |0.00        |0.8213    |16.64     |0
CF003C12000|973.00    |0.00      |0.00      |0.00      |0.00      |957.00    |-16.00    |-16.00    |0         |20        |0         |0.00        |0.7694    |16.65     |0
