ÉÌÆ·Ãû³Æ	ºÏÔ¼Ãû³Æ	¿ªÅÌ¼Û		×î¸ß¼Û		×îµÍ¼Û		ÊÕÅÌ¼Û		Ç°½áËã¼Û	½áËã¼Û		ÕÇµø		ÕÇµø1		Delta		³É½»Á¿		³Ö²ÖÁ¿		³Ö²ÖÁ¿±ä»¯	³É½»¶î		ÐÐÈ¨Á¿		
ÓñÃ×		c2001-P-1960	115.5		115.5		109.5		109.5		112.5		117.5		-3		5		-0.89		40		2,660		40		4.5		0		
ÓñÃ×		c2001-P-1980	129		129		129		129		132		135.5		-3		3.5		-0.93		20		3,192		0		2.58		0		
ÓñÃ×		c2001-P-2000	153.5		153.5		152.5		153		152		154.5		1		2.5		-0.96		70		2,346		0		10.7		0		
ÓñÃ×		c2001-P-2020	173		173		168.5		168.5		172		174		-3.5		2		-0.97		50		1,146		20		8.53		0		
ÓñÃ×		c2001-P-2040	0		0		0		193.5		192		193.5		1.5		1.5		-0.99		0		1,296		0		0		0		
ÓñÃ×		c2001-P-2060	207.5		207.5		207.5		207.5		212		213		-4.5		1		-1		20		1,030		0		4.15		0		
ÓñÃ×		c2001-P-2080	232		232		231		231		232		233		-1		1		-1		32		436		0		7.4		0		
ÓñÃ×		c2001-P-2100	251.5		251.5		248		248		252		253		-4		1		-1		38		452		2		9.57		0		
ÓñÃ×		c2001-P-2120	271.5		271.5		271.5		271.5		272		273		-0.5		1		-1		20		474		20		5.43		0		
ÓñÃ×		c2001-P-2140	291.5		291.5		291.5		291.5		292		293		-0.5		1		-1		20		146		0		5.83		0		
ÓñÃ×		c2001-P-2160	311		311		311		311		312		313		-1		1		-1		20		446		-20		6.22		0		
ÓñÃ×		c2001-P-2180	0		0		0		333		332		333		1		1		-1		0		354		0		0		0		
ÓñÃ×		c2001-P-2200	0		0		0		353		352		353		1		1		-1		0		426		0		0		0		
ÓñÃ×		c2003-C-1700	0		0		0		170		167		170		3		3		1		0		0		0		0		0		
ÓñÃ×		c2003-C-1720	0		0		0		151		147		151		4		4		0.96		0		10		0		0		0		
ÓñÃ×		c2003-C-1740	0		0		0		132		128		132		4		4		0.94		0		10		0		0		0		
ÓñÃ×		c2003-C-1760	0		0		0		114		109.5		114		4.5		4.5		0.9		0		10		0		0		0		
ÓñÃ×		c2003-C-1780	91		91		90.5		90.5		91.5		96.5		-1		5		0.85		26		160		0		2.36		0		
ÓñÃ×		c2003-C-1800	72		72		72		72		75		80.5		-3		5.5		0.79		22		240		20		1.58		0		
ÓñÃ×		c2003-C-1820	0		0		0		65.5		60		65.5		5.5		5.5		0.72		0		402		0		0		0		
ÓñÃ×		c2003-C-1840	42.5		42.5		41		41		46.5		52.5		-5.5		6		0.64		22		658		-18		0.91		0		
ÓñÃ×		c2003-C-1860	28		30		28		29.5		35.5		41		-6		5.5		0.55		200		12,068		0		5.92		0		
ÓñÃ×		c2003-C-1880	19.5		22		19		21		26		31		-5		5		0.46		440		6,740		80		9		0		
ÓñÃ×		c2003-C-1900	11.5		14.5		11.5		14		18		23		-4		5		0.38		442		15,008		-50		5.81		0		
ÓñÃ×		c2003-C-1920	8.5		10		8.5		10		12.5		16.5		-2.5		4		0.3		350		854		-70		4.07		0		
ÓñÃ×		c2003-C-1940	6		7		6		7		8		11.5		-1		3.5		0.23		380		658		-80		2.69		0		
ÓñÃ×		c2003-C-1960	4.5		5.5		4.5		5.5		5		8		0.5		3		0.17		120		804		20		0.59		0		
ÓñÃ×		c2003-C-1980	4		4.5		4		4.5		3		5.5		1.5		2.5		0.12		190		1,068		0		0.88		0		
ÓñÃ×		c2003-C-2000	3.5		4		3.5		4		1.5		3.5		2.5		2		0.09		220		988		-40		0.83		0		
ÓñÃ×		c2003-C-2020	3		3.5		3		3.5		1		2		2.5		1		0.05		150		752		130		0.49		0		
ÓñÃ×		c2003-C-2040	2.5		3		2.5		3		0.5		1		2.5		0.5		0.03		818		948		462		2.06		0		
ÓñÃ×		c2003-C-2060	2		3		2		3		0.5		0.5		2.5		0		0.02		246		492		94		0.55		0		
ÓñÃ×		c2003-C-2080	2		2		2		2		0.5		0.5		1.5		0		0.02		170		800		170		0.34		0		
